,Content ID,Type,Datetime,Type,Category,Sentiment,Score 
,,,,,,,
1,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,07-11-2020 09:43,photo,healthy eating,negative,0
2,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,17-06-2021 12:22,photo,healthy eating,negative,10
3,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,18-04-2021 05:13,photo,technology,negative,15
4,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,06-01-2021 19:13,video,food,negative,0
5,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,23-08-2020 12:25,GIF,cooking,positive,30
6,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,07-12-2020 06:27,video,dogs,neutral ,35
7,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,11-04-2021 17:35,video,technology,positive,70
8,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,27-01-2021 08:32,photo,soccer,negative,5
9,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,01-04-2021 22:54,photo,public speaking,neutral ,35
10,97522e57-d9ab-4bd6-97bf-c24d952602d2,love,04-08-2020 05:05,GIF,science,positive,65
11,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,07-11-2020 08:36,audio,public speaking,neutral ,20
12,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,02-11-2020 06:28,GIF,tennis,negative,15
13,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,01-11-2020 01:16,video,food,positive,30
14,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,07-10-2020 18:39,audio,travel,negative,5
15,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,03-09-2020 18:51,GIF,fitness,negative,15
16,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,24-02-2021 05:09,GIF,soccer,positive,75
17,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,23-09-2020 06:24,video,public speaking,neutral ,35
18,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,24-02-2021 11:37,video,food,neutral ,20
19,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,22-05-2021 19:44,video,tennis,positive,30
20,97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued,31-01-2021 16:03,GIF,soccer,positive,45
21,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,20-11-2020 17:26,GIF,soccer,neutral ,35
22,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,11-04-2021 20:47,video,education,negative,12
23,97522e57-d9ab-4bd6-97bf-c24d952602d2,like,13-06-2021 16:46,photo,studying,positive,50
24,97522e57-d9ab-4bd6-97bf-c24d952602d2,heart,11-04-2021 14:29,photo,travel,positive ,60
25,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,02-03-2021 19:21,GIF,food,negative,12
26,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,27-06-2020 18:44,audio,dogs,negative,5
27,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,09-05-2021 21:05,GIF,science,negative,5
28,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,04-08-2020 23:58,GIF,veganism,positive,70
29,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,28-08-2020 03:57,photo,healthy eating,positive,75
30,97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued,25-08-2020 08:21,video,food,positive,45
31,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,20-04-2021 23:48,video,dogs,negative,15
32,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,07-03-2021 12:40,audio,studying,positive,30
33,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,24-05-2021 03:21,video,cooking,neutral ,20
34,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,24-01-2021 11:03,audio,food,positive,75
35,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,09-04-2021 02:46,GIF,Animals,negative,0
36,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,02-02-2021 03:43,photo,technology,positive,75
37,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,04-02-2021 03:06,GIF,healthy eating,positive,30
38,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,09-11-2020 02:49,audio,animals,negative,10
39,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,29-09-2020 16:00,GIF,technology,negative,15
40,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,29-11-2020 21:33,audio,fitness,negative,10
41,97522e57-d9ab-4bd6-97bf-c24d952602d2,want,13-02-2021 07:54,audio,animals,positive,70
42,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,14-07-2020 05:28,photo,fitness,positive,30
43,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,23-08-2020 10:30,photo,veganism,neutral ,20
44,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,10-05-2021 09:27,video,dogs,negative,12
45,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,15-03-2021 03:59,GIF,healthy eating,negative,5
,,,,,,,
47,9f737e0a-3cdd-4d29-9d24-753f4e3be810,dislike,25-06-2020 17:01,video,culture,negative,10
48,9f737e0a-3cdd-4d29-9d24-753f4e3be810,intrigued,13-09-2020 00:11,video,tennis,positive,45
49,9f737e0a-3cdd-4d29-9d24-753f4e3be810,peeking,20-08-2020 18:17,GIF,tennis,neutral ,35
50,9f737e0a-3cdd-4d29-9d24-753f4e3be810,scared,11-02-2021 04:53,audio,culture,negative,15
51,9f737e0a-3cdd-4d29-9d24-753f4e3be810,hate,08-03-2021 10:40,GIF,travel,negative,5
52,9f737e0a-3cdd-4d29-9d24-753f4e3be810,disgust,28-03-2021 21:15,video,science,negative,0
53,9f737e0a-3cdd-4d29-9d24-753f4e3be810,hate,25-05-2021 01:00,video,technology,negative,5
54,9f737e0a-3cdd-4d29-9d24-753f4e3be810,like,15-03-2021 12:17,video,science,positive,50
55,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,05-05-2021 16:26,audio,food,positive,65
56,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,31-08-2020 00:21,GIF,food,positive,65
57,9f737e0a-3cdd-4d29-9d24-753f4e3be810,heart,16-06-2021 03:02,audio,fitness,positive ,60
58,9f737e0a-3cdd-4d29-9d24-753f4e3be810,indifferent,07-07-2020 10:52,GIF,fitness,neutral ,20
59,9f737e0a-3cdd-4d29-9d24-753f4e3be810,peeking,20-08-2020 07:59,audio,dogs,neutral ,35
60,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,23-09-2020 11:15,GIF,healthy eating,positive,65
61,9f737e0a-3cdd-4d29-9d24-753f4e3be810,like,24-03-2021 05:56,video,culture,positive,50
,,,,,,,
63,230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,07-12-2020 19:13,audio,culture,negative,5
64,230c4e4d-70c3-461d-b42c-ec09396efb3f,super love,03-08-2020 16:41,audio,education,positive,75
65,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,10-01-2021 15:36,GIF,education,positive,72
66,230c4e4d-70c3-461d-b42c-ec09396efb3f,scared,20-09-2020 08:48,photo,education,negative,15
67,230c4e4d-70c3-461d-b42c-ec09396efb3f,cherish,20-07-2020 14:06,photo,studying,positive,70
68,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,24-10-2020 12:15,audio,science,positive,72
69,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,06-06-2021 01:27,photo,studying,positive,30
70,230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,25-12-2020 00:09,GIF,Fitness,positive ,60
71,230c4e4d-70c3-461d-b42c-ec09396efb3f,like,14-06-2021 07:56,GIF,veganism,positive,50
72,230c4e4d-70c3-461d-b42c-ec09396efb3f,like,05-06-2021 18:00,video,science,positive,50
73,230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,18-11-2020 23:37,GIF,travel,negative,5
74,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,09-05-2021 02:42,GIF,studying,positive,30
75,230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,11-05-2021 08:38,video,culture,negative,10
76,230c4e4d-70c3-461d-b42c-ec09396efb3f,peeking,12-11-2020 08:00,GIF,animals,neutral ,35
77,230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,21-06-2020 16:57,photo,science,positive ,60
78,230c4e4d-70c3-461d-b42c-ec09396efb3f,super love,04-03-2021 23:58,audio,veganism,positive,75
79,230c4e4d-70c3-461d-b42c-ec09396efb3f,want,09-07-2020 16:47,photo,food,positive,70
80,230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,01-08-2020 19:16,video,healthy eating,negative,5
81,230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,23-11-2020 22:46,audio,studying,negative,10
82,230c4e4d-70c3-461d-b42c-ec09396efb3f,scared,11-12-2020 14:08,GIF,travel,negative,15
83,230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,23-04-2021 23:41,GIF,fitness,negative,10
84,230c4e4d-70c3-461d-b42c-ec09396efb3f,want,13-11-2020 00:33,photo,studying,positive,70
85,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,09-06-2021 10:13,video,dogs,positive,30
86,230c4e4d-70c3-461d-b42c-ec09396efb3f,love,29-10-2020 19:41,GIF,veganism,positive,65
87,230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,14-05-2021 12:47,video,science,positive ,60
88,230c4e4d-70c3-461d-b42c-ec09396efb3f,disgust,04-08-2020 05:40,GIF,cooking,negative,0
89,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,07-08-2020 04:09,photo,culture,positive,72
90,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,23-10-2020 21:19,GIF,culture,positive,72
91,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,14-11-2020 23:53,GIF,technology,positive,72
92,230c4e4d-70c3-461d-b42c-ec09396efb3f,worried,04-08-2020 19:26,photo,culture,negative,12
93,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,12-11-2020 04:54,video,animals,positive,30
,,,,,,,
95,356fff80-da4d-4785-9f43-bc1261031dc6,worried,03-04-2021 12:17,photo,food,negative,12
96,356fff80-da4d-4785-9f43-bc1261031dc6,want,27-09-2020 22:15,GIF,veganism,positive,70
97,356fff80-da4d-4785-9f43-bc1261031dc6,heart,27-10-2020 05:45,video,healthy eating,positive ,60
98,356fff80-da4d-4785-9f43-bc1261031dc6,scared,15-10-2020 09:11,video,veganism,negative,15
99,356fff80-da4d-4785-9f43-bc1261031dc6,heart,07-05-2021 09:16,video,healthy eating,positive ,60
100,356fff80-da4d-4785-9f43-bc1261031dc6,hate,16-09-2020 08:39,photo,studying,negative,5
101,356fff80-da4d-4785-9f43-bc1261031dc6,indifferent,29-10-2020 15:38,photo,dogs,neutral ,20
,,,,,,,
103,01ab84dd-6364-4236-abbb-3f237db77180,scared,24-05-2021 18:03,video,soccer,negative,15
,,,,,,,
105,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,interested,25-02-2021 20:02,audio,Veganism,positive,30
106,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,hate,02-05-2021 03:45,video,healthy eating,negative,5
107,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,want,28-01-2021 08:49,GIF,cooking,positive,70
108,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,peeking,15-02-2021 13:06,audio,technology,neutral ,35
109,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,dislike,04-11-2020 21:25,video,education,negative,10
110,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,love,23-06-2020 22:12,photo,dogs,positive,65
111,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,cherish,16-02-2021 04:01,audio,studying,positive,70
112,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,interested,03-01-2021 08:44,video,studying,positive,30
113,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,adore,25-11-2020 12:45,video,public speaking,positive,72
114,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,like,03-12-2020 16:47,audio,technology,positive,50
115,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,like,22-05-2021 21:03,GIF,education,positive,50
116,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,cherish,18-01-2021 13:39,video,public speaking,positive,70
117,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,indifferent,06-01-2021 00:35,video,studying,neutral ,20
118,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,adore,14-05-2021 14:33,photo,food,positive,72
119,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,worried,27-05-2021 15:21,GIF,public speaking,negative,12
120,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,peeking,21-07-2020 02:12,photo,animals,neutral ,35
121,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,dislike,26-05-2021 06:09,photo,education,negative,10
122,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,dislike,25-02-2021 03:16,GIF,soccer,negative,10
123,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,intrigued,07-12-2020 22:50,photo,travel,positive,45
124,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,indifferent,24-10-2020 14:06,photo,public speaking,neutral ,20
125,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,peeking,01-09-2020 21:18,GIF,tennis,neutral ,35
126,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,adore,10-05-2021 22:07,GIF,soccer,positive,72
,,,,,,,
128,3f8590c7-6ab2-4973-805a-90cdec355f05,cherish,12-02-2021 16:37,photo,fitness,positive,70
129,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,28-04-2021 15:22,video,veganism,positive ,60
130,3f8590c7-6ab2-4973-805a-90cdec355f05,intrigued,24-01-2021 00:38,video,cooking,positive,45
